item,Trait_0,Trait_1,Trait_2,Trait_3,Trait_4,Bias
0,"Gaussian(1.79337, 0.01514)","Gaussian(-1.25775, 0.01341)","Gaussian(1.03026, 0.01466)","Gaussian(0.43529, 0.01304)","Gaussian(0.50697, 0.01419)","Gaussian(0.21044, 0.02705)"
1,"Gaussian(0.35500, 0.01235)","Gaussian(-2.22796, 0.02024)","Gaussian(0.37961, 0.01495)","Gaussian(0.04232, 0.01292)","Gaussian(-1.90718, 0.01974)","Gaussian(-1.08038, 0.02993)"
2,"Gaussian(0.79320, 0.01625)","Gaussian(2.04395, 0.01942)","Gaussian(-1.01983, 0.01832)","Gaussian(1.11958, 0.01435)","Gaussian(1.00309, 0.01634)","Gaussian(0.02769, 0.03216)"
3,"Gaussian(1.03214, 0.01569)","Gaussian(1.72977, 0.01940)","Gaussian(-1.84826, 0.02135)","Gaussian(-0.44398, 0.01548)","Gaussian(0.38567, 0.01714)","Gaussian(1.33583, 0.03403)"
4,"Gaussian(-0.97408, 0.01425)","Gaussian(0.00424, 0.01356)","Gaussian(-0.21634, 0.02024)","Gaussian(1.98084, 0.02247)","Gaussian(0.49210, 0.01788)","Gaussian(-2.92526, 0.03372)"
5,"Gaussian(-1.49429, 0.01543)","Gaussian(0.35851, 0.01198)","Gaussian(0.20131, 0.01483)","Gaussian(1.73484, 0.01914)","Gaussian(-0.68795, 0.01575)","Gaussian(0.20148, 0.02838)"
6,"Gaussian(-0.46931, 0.01319)","Gaussian(0.25266, 0.01228)","Gaussian(0.07705, 0.01716)","Gaussian(-2.18079, 0.01994)","Gaussian(0.62177, 0.01549)","Gaussian(-2.05583, 0.02866)"
7,"Gaussian(-0.65169, 0.01238)","Gaussian(2.14840, 0.02033)","Gaussian(0.71729, 0.01359)","Gaussian(0.31536, 0.01214)","Gaussian(-0.33184, 0.01213)","Gaussian(0.29044, 0.02611)"
8,"Gaussian(-0.39152, 0.01313)","Gaussian(0.32464, 0.01161)","Gaussian(-1.39984, 0.01801)","Gaussian(1.70807, 0.01883)","Gaussian(1.28196, 0.01658)","Gaussian(-0.67139, 0.02861)"
9,"Gaussian(-0.18915, 0.01353)","Gaussian(1.23256, 0.01641)","Gaussian(0.34136, 0.01608)","Gaussian(-0.01701, 0.01381)","Gaussian(2.09592, 0.02485)","Gaussian(1.10498, 0.03051)"
10,"Gaussian(0.37700, 0.01494)","Gaussian(1.29690, 0.01634)","Gaussian(0.16268, 0.01854)","Gaussian(-1.75732, 0.02317)","Gaussian(1.68562, 0.02126)","Gaussian(0.10032, 0.03508)"
11,Gaussian.PointMass(0.00000),Gaussian.PointMass(0.00000),Gaussian.PointMass(1.00000),Gaussian.PointMass(0.00000),Gaussian.PointMass(0.00000),"Gaussian(-0.16634, 0.01739)"
12,"Gaussian(0.28726, 0.01227)","Gaussian(1.80588, 0.01602)","Gaussian(0.45170, 0.01385)","Gaussian(0.96689, 0.01232)","Gaussian(-1.24055, 0.01543)","Gaussian(0.86059, 0.02659)"
13,"Gaussian(-0.42961, 0.01429)","Gaussian(-2.06339, 0.01999)","Gaussian(-1.50304, 0.01827)","Gaussian(0.07681, 0.01426)","Gaussian(-0.65917, 0.01432)","Gaussian(-0.41903, 0.03074)"
14,"Gaussian(1.22625, 0.01838)","Gaussian(1.51058, 0.01614)","Gaussian(-1.31817, 0.01869)","Gaussian(-1.06847, 0.01780)","Gaussian(1.17796, 0.02034)","Gaussian(-0.61230, 0.03404)"
15,"Gaussian(-0.70324, 0.01570)","Gaussian(-0.92478, 0.01435)","Gaussian(-2.09484, 0.02339)","Gaussian(0.41113, 0.01717)","Gaussian(2.44280, 0.03053)","Gaussian(0.39917, 0.03695)"
16,"Gaussian(2.02997, 0.01753)","Gaussian(-0.66717, 0.01202)","Gaussian(-1.21635, 0.01650)","Gaussian(-0.44347, 0.01210)","Gaussian(0.77320, 0.01589)","Gaussian(0.16820, 0.02765)"
17,"Gaussian(2.15768, 0.02090)","Gaussian(0.52647, 0.01392)","Gaussian(0.37637, 0.01514)","Gaussian(-0.53799, 0.01441)","Gaussian(-0.38998, 0.01404)","Gaussian(-0.73988, 0.02883)"
18,Gaussian.PointMass(0.00000),Gaussian.PointMass(1.00000),Gaussian.PointMass(0.00000),Gaussian.PointMass(0.00000),Gaussian.PointMass(0.00000),"Gaussian(-0.94732, 0.01839)"
19,"Gaussian(2.09143, 0.01822)","Gaussian(0.90500, 0.01517)","Gaussian(0.09086, 0.01447)","Gaussian(-0.55784, 0.01383)","Gaussian(-0.97059, 0.01701)","Gaussian(1.54231, 0.02973)"
20,"Gaussian(-1.58431, 0.01452)","Gaussian(0.30207, 0.01227)","Gaussian(-0.01325, 0.01543)","Gaussian(-1.58318, 0.01408)","Gaussian(0.46743, 0.01250)","Gaussian(0.79713, 0.02568)"
21,"Gaussian(1.89645, 0.02000)","Gaussian(1.98538, 0.02223)","Gaussian(-0.18205, 0.01535)","Gaussian(-0.37495, 0.01451)","Gaussian(-0.17352, 0.01572)","Gaussian(0.46956, 0.03301)"
22,"Gaussian(-0.75295, 0.01698)","Gaussian(-1.55636, 0.01753)","Gaussian(-1.14542, 0.02129)","Gaussian(1.81991, 0.02971)","Gaussian(-0.75556, 0.01763)","Gaussian(-0.93259, 0.03670)"
