item,Trait_0,Trait_1,Trait_2,Trait_3,Trait_4,Bias
0,"Gaussian(-0.81631, 0.01224)","Gaussian(0.37389, 0.01427)","Gaussian(0.38543, 0.01717)","Gaussian(-0.60453, 0.01619)","Gaussian(2.30794, 0.02518)","Gaussian(-1.27222, 0.03002)"
1,"Gaussian(-2.38056, 0.02310)","Gaussian(0.57988, 0.01353)","Gaussian(-0.16479, 0.01481)","Gaussian(0.05299, 0.01459)","Gaussian(0.63268, 0.01497)","Gaussian(-0.62611, 0.02938)"
2,"Gaussian(-0.72366, 0.00965)","Gaussian(1.04711, 0.01268)","Gaussian(1.35035, 0.01899)","Gaussian(-0.42254, 0.01388)","Gaussian(-1.07392, 0.01187)","Gaussian(-1.13664, 0.02509)"
3,"Gaussian(1.64922, 0.01508)","Gaussian(1.64775, 0.01631)","Gaussian(-1.05137, 0.01588)","Gaussian(-0.62099, 0.01647)","Gaussian(0.71257, 0.01523)","Gaussian(-1.86825, 0.03034)"
4,"Gaussian(0.08192, 0.01139)","Gaussian(0.89703, 0.01500)","Gaussian(-1.98614, 0.01792)","Gaussian(1.58664, 0.01823)","Gaussian(-0.63801, 0.01571)","Gaussian(-0.04878, 0.02996)"
5,"Gaussian(-1.07596, 0.01019)","Gaussian(-1.92662, 0.01513)","Gaussian(0.71720, 0.01561)","Gaussian(-0.38352, 0.01316)","Gaussian(0.15086, 0.01245)","Gaussian(0.10454, 0.02557)"
6,"Gaussian(-0.89898, 0.01107)","Gaussian(-0.71850, 0.01206)","Gaussian(-1.86810, 0.01661)","Gaussian(-1.56322, 0.01432)","Gaussian(-0.70325, 0.01270)","Gaussian(-0.54282, 0.02590)"
7,"Gaussian(-0.74667, 0.01365)","Gaussian(-2.09035, 0.01758)","Gaussian(0.75413, 0.01995)","Gaussian(1.29488, 0.01938)","Gaussian(0.82208, 0.01602)","Gaussian(-1.78026, 0.03387)"
8,"Gaussian(-1.37883, 0.01349)","Gaussian(-0.43947, 0.01303)","Gaussian(-0.79460, 0.01634)","Gaussian(-2.17919, 0.02020)","Gaussian(0.09448, 0.01339)","Gaussian(1.56631, 0.02981)"
9,"Gaussian(1.47811, 0.01376)","Gaussian(2.31005, 0.02712)","Gaussian(0.22566, 0.01765)","Gaussian(-0.93629, 0.02285)","Gaussian(0.32125, 0.01696)","Gaussian(1.44688, 0.03767)"
