user,Threshold_0,Threshold_1,Threshold_2,Threshold_3,Threshold_4,Threshold_5,Threshold_6,Trait_0,Trait_1,Trait_2,Trait_3,Trait_4,Bias
0,Gaussian.PointMass(-np.inf),"Gaussian(-2.98292, 0.09317)","Gaussian(-1.50895, 0.06838)",Gaussian.PointMass(0.00000),"Gaussian(1.48965, 0.06862)","Gaussian(3.29792, 0.09574)",Gaussian.PointMass(np.inf),"Gaussian(-2.95769, 0.03010)","Gaussian(1.04031, 0.01814)","Gaussian(-0.52815, 0.02102)","Gaussian(0.12118, 0.02010)","Gaussian(-0.56210, 0.01782)","Gaussian(-0.09268, 0.02665)"
1,Gaussian.PointMass(-np.inf),"Gaussian(-4.05880, 0.15384)","Gaussian(-1.18974, 0.09030)",Gaussian.PointMass(0.00000),"Gaussian(1.24166, 0.05702)","Gaussian(2.70606, 0.05768)",Gaussian.PointMass(np.inf),"Gaussian(-0.50802, 0.01696)","Gaussian(2.40269, 0.02529)","Gaussian(-0.14248, 0.02308)","Gaussian(0.23228, 0.01885)","Gaussian(0.45274, 0.01981)","Gaussian(1.70971, 0.02639)"
2,Gaussian.PointMass(-np.inf),"Gaussian(-2.56554, 0.07991)","Gaussian(-0.77647, 0.07203)",Gaussian.PointMass(0.00000),"Gaussian(0.68884, 0.06991)","Gaussian(3.27761, 0.09086)",Gaussian.PointMass(np.inf),"Gaussian(-0.91549, 0.01800)","Gaussian(-2.54119, 0.02752)","Gaussian(-0.94271, 0.02077)","Gaussian(1.69856, 0.02638)","Gaussian(-0.75491, 0.02190)","Gaussian(0.11946, 0.02841)"
3,Gaussian.PointMass(-np.inf),"Gaussian(-2.85921, 0.07845)","Gaussian(-0.83987, 0.07241)",Gaussian.PointMass(0.00000),"Gaussian(-0.07375, 0.12685)","Gaussian(2.76876, 0.10851)",Gaussian.PointMass(np.inf),"Gaussian(1.68619, 0.02378)","Gaussian(0.15169, 0.02402)","Gaussian(-2.39192, 0.03626)","Gaussian(-1.37840, 0.02494)","Gaussian(-0.26848, 0.02425)","Gaussian(-0.97479, 0.03311)"
4,Gaussian.PointMass(-np.inf),"Gaussian(-2.78850, 0.05512)","Gaussian(-0.50821, 0.05967)",Gaussian.PointMass(0.00000),"Gaussian(0.99727, 0.07527)","Gaussian(3.17169, 0.11336)",Gaussian.PointMass(np.inf),"Gaussian(-0.74607, 0.01603)","Gaussian(-0.80462, 0.01602)","Gaussian(-1.87490, 0.02748)","Gaussian(-1.55567, 0.01966)","Gaussian(-0.66020, 0.01817)","Gaussian(-0.45121, 0.02430)"
5,Gaussian.PointMass(-np.inf),"Gaussian(-3.19681, 0.08205)","Gaussian(-1.79773, 0.05346)",Gaussian.PointMass(0.00000),"Gaussian(1.20506, 0.06653)","Gaussian(3.08759, 0.09202)",Gaussian.PointMass(np.inf),"Gaussian(-1.72864, 0.02001)","Gaussian(0.43832, 0.01561)","Gaussian(-0.66207, 0.02229)","Gaussian(-1.47343, 0.02180)","Gaussian(-0.92415, 0.01721)","Gaussian(0.06857, 0.02387)"
6,Gaussian.PointMass(-np.inf),"Gaussian(-2.25872, 0.09434)","Gaussian(-1.47466, 0.08610)",Gaussian.PointMass(0.00000),"Gaussian(1.47493, 0.06684)","Gaussian(2.78022, 0.07761)",Gaussian.PointMass(np.inf),"Gaussian(-2.36129, 0.02403)","Gaussian(1.81298, 0.02445)","Gaussian(1.25295, 0.02158)","Gaussian(-0.11954, 0.02370)","Gaussian(1.41529, 0.02659)","Gaussian(-0.76783, 0.03150)"
7,Gaussian.PointMass(-np.inf),"Gaussian(-1.74002, 0.09026)","Gaussian(0.79113, 0.14428)",Gaussian.PointMass(0.00000),"Gaussian(1.42084, 0.07629)","Gaussian(2.50638, 0.09744)",Gaussian.PointMass(np.inf),"Gaussian(2.29421, 0.03031)","Gaussian(-2.10132, 0.02534)","Gaussian(-0.99737, 0.02341)","Gaussian(-1.17681, 0.02974)","Gaussian(-0.90149, 0.02897)","Gaussian(0.85995, 0.03640)"
8,Gaussian.PointMass(-np.inf),"Gaussian(-2.89431, 0.12910)","Gaussian(-2.14891, 0.08554)",Gaussian.PointMass(0.00000),"Gaussian(1.46923, 0.06064)","Gaussian(2.53060, 0.07280)",Gaussian.PointMass(np.inf),"Gaussian(-0.02843, 0.01719)","Gaussian(0.79229, 0.01918)","Gaussian(3.01393, 0.03829)","Gaussian(0.26137, 0.02007)","Gaussian(0.16617, 0.02219)","Gaussian(1.22506, 0.02776)"
9,Gaussian.PointMass(-np.inf),"Gaussian(-2.73187, 0.09672)","Gaussian(-1.46638, 0.08208)",Gaussian.PointMass(0.00000),"Gaussian(1.79975, 0.06005)","Gaussian(3.59678, 0.07495)",Gaussian.PointMass(np.inf),"Gaussian(-1.21746, 0.01655)","Gaussian(-0.72120, 0.01879)","Gaussian(0.56282, 0.02148)","Gaussian(2.17077, 0.02305)","Gaussian(2.14739, 0.02309)","Gaussian(0.99645, 0.02655)"
