item,Trait_0,Trait_1,Trait_2,Trait_3,Trait_4,Bias
0,"Gaussian(-0.74952, 0.02240)","Gaussian(-0.09427, 0.02065)","Gaussian(-1.90664, 0.03785)","Gaussian(0.97451, 0.02300)","Gaussian(-0.94287, 0.02478)","Gaussian(0.21629, 0.04220)"
1,"Gaussian(0.81167, 0.02146)","Gaussian(0.33298, 0.01756)","Gaussian(-0.65643, 0.02363)","Gaussian(-0.11893, 0.02707)","Gaussian(-2.68232, 0.05813)","Gaussian(-0.93804, 0.04402)"
2,"Gaussian(-2.04497, 0.03487)","Gaussian(0.32492, 0.01835)","Gaussian(0.58943, 0.02127)","Gaussian(-0.18194, 0.02531)","Gaussian(1.48020, 0.02746)","Gaussian(0.03816, 0.04163)"
3,"Gaussian(-1.50015, 0.02909)","Gaussian(-0.80231, 0.01624)","Gaussian(1.65260, 0.02565)","Gaussian(0.49665, 0.02425)","Gaussian(0.57835, 0.02785)","Gaussian(1.25803, 0.04193)"
4,"Gaussian(0.10710, 0.02007)","Gaussian(1.94036, 0.02591)","Gaussian(-0.40147, 0.02819)","Gaussian(-0.49625, 0.02644)","Gaussian(0.95065, 0.03234)","Gaussian(-2.67430, 0.04635)"
5,"Gaussian(0.34779, 0.01738)","Gaussian(1.57132, 0.02159)","Gaussian(-0.15756, 0.02283)","Gaussian(-1.72861, 0.02417)","Gaussian(0.54164, 0.02792)","Gaussian(0.30909, 0.03868)"
6,"Gaussian(1.17278, 0.01662)","Gaussian(-1.95283, 0.02578)","Gaussian(0.07649, 0.03154)","Gaussian(0.49503, 0.02481)","Gaussian(0.87453, 0.03021)","Gaussian(-1.89295, 0.04129)"
7,"Gaussian(-0.50667, 0.01783)","Gaussian(-0.60787, 0.01806)","Gaussian(-0.14060, 0.02024)","Gaussian(-2.04917, 0.02614)","Gaussian(1.55099, 0.03448)","Gaussian(0.22123, 0.03794)"
8,"Gaussian(-0.51442, 0.01695)","Gaussian(1.99601, 0.02476)","Gaussian(0.51688, 0.02009)","Gaussian(0.52783, 0.02135)","Gaussian(1.24348, 0.02910)","Gaussian(-0.66189, 0.03687)"
9,"Gaussian(-0.36758, 0.02290)","Gaussian(-0.33220, 0.02290)","Gaussian(-0.95983, 0.02485)","Gaussian(0.33086, 0.03501)","Gaussian(2.48656, 0.05023)","Gaussian(1.11200, 0.04872)"
10,"Gaussian(0.01692, 0.02461)","Gaussian(-2.22940, 0.05612)","Gaussian(-0.33235, 0.03173)","Gaussian(0.75929, 0.03185)","Gaussian(1.81758, 0.04078)","Gaussian(0.41855, 0.05854)"
11,"Gaussian(0.21999, 0.01360)","Gaussian(-0.71326, 0.01660)","Gaussian(-1.83206, 0.02109)","Gaussian(-0.94577, 0.01969)","Gaussian(1.09602, 0.01897)","Gaussian(-0.43556, 0.03090)"
12,"Gaussian(-1.29324, 0.02044)","Gaussian(-0.27002, 0.01414)","Gaussian(0.00908, 0.02076)","Gaussian(-2.07972, 0.02627)","Gaussian(0.11919, 0.02952)","Gaussian(0.84166, 0.03707)"
13,"Gaussian(1.13409, 0.02268)","Gaussian(1.10868, 0.02143)","Gaussian(0.74128, 0.02207)","Gaussian(0.98635, 0.02640)","Gaussian(-1.45785, 0.03308)","Gaussian(-0.42603, 0.04390)"
14,"Gaussian(-1.24768, 0.03469)","Gaussian(-1.51026, 0.02422)","Gaussian(0.92185, 0.03154)","Gaussian(1.12789, 0.03185)","Gaussian(1.06395, 0.03141)","Gaussian(-0.62097, 0.05166)"
15,"Gaussian(0.64366, 0.01983)","Gaussian(1.64590, 0.02330)","Gaussian(0.47614, 0.02612)","Gaussian(2.31566, 0.03178)","Gaussian(1.55067, 0.03297)","Gaussian(0.28738, 0.04654)"
16,"Gaussian(-0.99464, 0.01936)","Gaussian(-0.44570, 0.01512)","Gaussian(0.13265, 0.01967)","Gaussian(2.23165, 0.03567)","Gaussian(-0.84764, 0.02330)","Gaussian(0.15708, 0.03765)"
