user,Threshold_0,Threshold_1,Threshold_2,Threshold_3,Threshold_4,Threshold_5,Threshold_6,Trait_0,Trait_1,Trait_2,Trait_3,Trait_4,Bias
0,Gaussian.PointMass(-np.inf),"Gaussian(-2.75843, 0.17528)","Gaussian(-2.17569, 0.13529)",Gaussian.PointMass(0.00000),"Gaussian(1.00653, 0.10364)","Gaussian(2.06701, 0.12223)",Gaussian.PointMass(np.inf),"Gaussian(-0.60472, 0.03309)","Gaussian(2.73184, 0.03882)","Gaussian(0.13021, 0.03736)","Gaussian(-1.35654, 0.04416)","Gaussian(0.75596, 0.03495)","Gaussian(1.00550, 0.05013)"
1,Gaussian.PointMass(-np.inf),"Gaussian(-2.10861, 0.17218)","Gaussian(-1.19207, 0.11909)",Gaussian.PointMass(0.00000),"Gaussian(0.87770, 0.06414)","Gaussian(2.70441, 0.07024)",Gaussian.PointMass(np.inf),"Gaussian(-0.27326, 0.02342)","Gaussian(-0.01965, 0.02202)","Gaussian(-0.03152, 0.03125)","Gaussian(-1.55450, 0.03021)","Gaussian(-2.35962, 0.03450)","Gaussian(1.80149, 0.03552)"
2,Gaussian.PointMass(-np.inf),"Gaussian(-2.26012, 0.10061)","Gaussian(-1.09865, 0.08177)",Gaussian.PointMass(0.00000),"Gaussian(0.97775, 0.08549)","Gaussian(3.65010, 0.16521)",Gaussian.PointMass(np.inf),"Gaussian(-0.29411, 0.02509)","Gaussian(-1.58349, 0.02423)","Gaussian(-0.38124, 0.04201)","Gaussian(1.98453, 0.04108)","Gaussian(-0.92382, 0.02765)","Gaussian(-1.18324, 0.03937)"
3,Gaussian.PointMass(-np.inf),"Gaussian(-3.57546, 0.14075)","Gaussian(-0.93288, 0.08870)",Gaussian.PointMass(0.00000),"Gaussian(1.03717, 0.09916)","Gaussian(1.76687, 0.10574)",Gaussian.PointMass(np.inf),"Gaussian(-0.50530, 0.02570)","Gaussian(1.45876, 0.02651)","Gaussian(1.33591, 0.04369)","Gaussian(2.32715, 0.03091)","Gaussian(0.58655, 0.02998)","Gaussian(1.20567, 0.04081)"
4,Gaussian.PointMass(-np.inf),"Gaussian(-3.55626, 0.18454)","Gaussian(-0.86355, 0.13009)",Gaussian.PointMass(0.00000),"Gaussian(0.54428, 0.08264)","Gaussian(3.30641, 0.08288)",Gaussian.PointMass(np.inf),"Gaussian(-2.28461, 0.03539)","Gaussian(-0.55242, 0.02154)","Gaussian(1.07552, 0.02759)","Gaussian(-0.73176, 0.03001)","Gaussian(-0.24395, 0.02126)","Gaussian(1.80617, 0.03761)"
5,Gaussian.PointMass(-np.inf),"Gaussian(-3.28642, 0.11644)","Gaussian(-1.12537, 0.08789)",Gaussian.PointMass(0.00000),"Gaussian(0.56283, 0.12997)","Gaussian(2.69327, 0.12494)",Gaussian.PointMass(np.inf),"Gaussian(-2.03488, 0.03619)","Gaussian(-1.67165, 0.02840)","Gaussian(-1.08612, 0.03211)","Gaussian(-1.21889, 0.03201)","Gaussian(0.46762, 0.03104)","Gaussian(-0.37109, 0.04286)"
6,Gaussian.PointMass(-np.inf),"Gaussian(-2.30830, 0.10181)","Gaussian(-1.86077, 0.08147)",Gaussian.PointMass(0.00000),"Gaussian(0.72145, 0.10986)","Gaussian(2.02188, 0.11999)",Gaussian.PointMass(np.inf),"Gaussian(1.30287, 0.02871)","Gaussian(1.48292, 0.03290)","Gaussian(-1.18689, 0.03229)","Gaussian(-1.07266, 0.02829)","Gaussian(-1.41383, 0.03192)","Gaussian(-1.60476, 0.04120)"
7,Gaussian.PointMass(-np.inf),"Gaussian(-3.14617, 0.09512)","Gaussian(-0.75068, 0.07203)",Gaussian.PointMass(0.00000),"Gaussian(1.59796, 0.09645)","Gaussian(2.09483, 0.14452)",Gaussian.PointMass(np.inf),"Gaussian(-1.24603, 0.02761)","Gaussian(-0.88797, 0.02206)","Gaussian(0.91177, 0.02473)","Gaussian(-1.32023, 0.02845)","Gaussian(-0.95886, 0.02736)","Gaussian(-0.40368, 0.03553)"
8,Gaussian.PointMass(-np.inf),"Gaussian(-3.54596, 0.13228)","Gaussian(-1.62378, 0.09558)",Gaussian.PointMass(0.00000),"Gaussian(0.80526, 0.07412)","Gaussian(2.80019, 0.09578)",Gaussian.PointMass(np.inf),"Gaussian(1.09402, 0.02555)","Gaussian(2.30122, 0.02676)","Gaussian(0.46310, 0.02471)","Gaussian(-0.44101, 0.02553)","Gaussian(-0.70350, 0.02713)","Gaussian(0.70173, 0.03354)"
9,Gaussian.PointMass(-np.inf),"Gaussian(-3.14639, 0.11963)","Gaussian(-0.36017, 0.11220)",Gaussian.PointMass(0.00000),"Gaussian(1.15522, 0.07600)","Gaussian(3.26373, 0.07918)",Gaussian.PointMass(np.inf),"Gaussian(0.97220, 0.02305)","Gaussian(-1.17403, 0.02014)","Gaussian(1.15637, 0.02968)","Gaussian(-1.54355, 0.02772)","Gaussian(1.00577, 0.02279)","Gaussian(0.85141, 0.03317)"
10,Gaussian.PointMass(-np.inf),"Gaussian(-2.01747, 0.20270)","Gaussian(-1.72999, 0.17169)",Gaussian.PointMass(0.00000),"Gaussian(0.25906, 0.08675)","Gaussian(3.41682, 0.09506)",Gaussian.PointMass(np.inf),"Gaussian(-2.18676, 0.03997)","Gaussian(-1.01009, 0.02452)","Gaussian(-0.68960, 0.02904)","Gaussian(-0.62513, 0.02894)","Gaussian(0.36285, 0.03196)","Gaussian(1.44555, 0.04230)"
11,Gaussian.PointMass(-np.inf),"Gaussian(-1.93076, 0.10532)","Gaussian(-0.22210, 0.11196)",Gaussian.PointMass(0.00000),"Gaussian(1.55223, 0.06754)","Gaussian(3.61098, 0.13000)",Gaussian.PointMass(np.inf),"Gaussian(-0.15661, 0.02292)","Gaussian(-2.55627, 0.03220)","Gaussian(0.78958, 0.03097)","Gaussian(-0.70625, 0.02714)","Gaussian(-1.02790, 0.02643)","Gaussian(0.02464, 0.03625)"
12,Gaussian.PointMass(-np.inf),"Gaussian(-2.37405, 0.07155)","Gaussian(-0.72361, 0.08047)",Gaussian.PointMass(0.00000),"Gaussian(0.55739, 0.15370)","Gaussian(3.25982, 0.24033)",Gaussian.PointMass(np.inf),"Gaussian(1.35395, 0.02672)","Gaussian(0.05578, 0.02515)","Gaussian(1.41550, 0.05432)","Gaussian(-1.15101, 0.03083)","Gaussian(-0.00392, 0.03067)","Gaussian(-2.70522, 0.04191)"
13,Gaussian.PointMass(-np.inf),"Gaussian(-3.19262, 0.10834)","Gaussian(-1.04255, 0.07046)",Gaussian.PointMass(0.00000),"Gaussian(1.83895, 0.07022)","Gaussian(2.93453, 0.08654)",Gaussian.PointMass(np.inf),"Gaussian(-0.46369, 0.01863)","Gaussian(0.93441, 0.01755)","Gaussian(1.95823, 0.03367)","Gaussian(1.12080, 0.02237)","Gaussian(-0.39631, 0.02000)","Gaussian(0.35127, 0.02894)"
14,Gaussian.PointMass(-np.inf),"Gaussian(-2.65444, 0.10432)","Gaussian(-1.53372, 0.08430)",Gaussian.PointMass(0.00000),"Gaussian(1.19548, 0.09212)","Gaussian(3.61272, 0.15777)",Gaussian.PointMass(np.inf),"Gaussian(-1.63111, 0.02872)","Gaussian(0.86864, 0.02260)","Gaussian(-2.07442, 0.03300)","Gaussian(1.68607, 0.03216)","Gaussian(-0.31503, 0.02328)","Gaussian(-1.61172, 0.03822)"
