LGBM,rmse,loss,tr_loss,params.learning_rate,params.n_estimators,params.num_iterations,params.subsample,train_time,status,geo_mean,geo_mean_tr,dataset_size
2,1.381787,1.303839,1.302621,0.14,300,100,0.80,253.734995,ok,0.271488,0.271819,20000263
8,1.381787,1.303839,1.302621,0.14,300,100,0.84,243.231962,ok,0.271488,0.271819,20000263
12,1.381787,1.303839,1.302621,0.14,100,100,0.72,244.789475,ok,0.271488,0.271819,20000263
5,1.386942,1.306339,1.305455,0.10,300,100,0.86,459.859957,ok,0.270810,0.271049,20000263
9,1.386352,1.306923,1.305973,0.09,300,100,0.74,329.525679,ok,0.270652,0.270909,20000263
1,1.386352,1.306923,1.305973,0.09,200,100,0.82,187.186680,ok,0.270652,0.270909,20000263
15,1.390294,1.308996,1.308163,0.07,400,100,0.78,222.756963,ok,0.270091,0.270316,20000263
10,1.393113,1.310159,1.309338,0.06,300,100,0.86,326.862558,ok,0.269777,0.269999,20000263
14,1.393113,1.310159,1.309338,0.06,200,100,0.84,286.999895,ok,0.269777,0.269999,20000263
0,1.393939,1.311886,1.311101,0.05,200,100,0.80,441.570821,ok,0.269312,0.269523,20000263
6,1.393939,1.311886,1.311101,0.05,400,100,0.84,496.386623,ok,0.269312,0.269523,20000263
7,1.393939,1.311886,1.311101,0.05,400,100,0.90,317.017671,ok,0.269312,0.269523,20000263
13,1.393939,1.311886,1.311101,0.05,400,100,0.78,346.348233,ok,0.269312,0.269523,20000263
11,1.396032,1.314139,1.313413,0.04,300,100,0.72,323.225517,ok,0.268706,0.268901,20000263
4,1.471077,1.827070,1.822285,0.15,400,100,0.76,561.422266,ok,0.160884,0.161656,20000263
3,1.471077,1.827070,1.822285,0.15,200,100,0.86,562.538331,ok,0.160884,0.161656,20000263
