rmse,loss,tr_loss,params.learning_rate,params.n_estimators,params.reg_alpha,params.subsample,train_time,status,geo_mean,geo_mean_tr,dataset_size
4.0,3.318332205535383,1.49624473575969,0.05,100,0.1,0.8,0.36320042610168457,ok,0.036213177554934535,0.22396964812281636,10001
4.0,3.4814735640962295,1.3888447518298352,0.1,100,0.02,0.84,0.34682655334472656,ok,0.03076204776900225,0.24936321469334274,10001
4.0,3.538902916426785,1.3709512390989993,0.11,100,0.0,0.74,0.3377366065979004,ok,0.029045174593239572,0.2538653580061825,10001
4.0,3.881876242959039,1.3552886304087108,0.06,200,0.03,0.74,0.6887774467468262,ok,0.020612115542067197,0.2578728537622423,10001
4.0,3.951360432946442,1.2746711242388853,0.06,300,0.01,0.72,1.0225520133972168,ok,0.01922852485472773,0.27952288140694115,10001
4.0,3.9802787713314993,1.250609519165396,0.1,200,0.05,0.88,0.6698007583618164,ok,0.01868043104317001,0.28633021990493074,10001
4.0,4.0267441742773835,1.253117204076768,0.1,200,0.1,0.72,0.6948235034942627,ok,0.017832294384162915,0.28561309347217595,10001
4.0,4.284765667030087,1.2519240221570722,0.1,200,0.07,0.84,0.6694490909576416,ok,0.013776849513129744,0.28595408524348814,10001
4.0,4.4171209770743305,1.2070155230314747,0.08,300,0.0,0.7000000000000001,0.973325252532959,ok,0.01206892903777194,0.29908857170148195,10001
4.0,5.11991992359345,1.1077135965991414,0.09,400,0.05,0.8200000000000001,1.304640531539917,ok,0.005976501452605166,0.3303133278693468,10001
