rmse,loss,tr_loss,params.learning_rate,params.n_estimators,params.reg_alpha,params.subsample,train_time,status,geo_mean,geo_mean_tr,dataset_size
1.24392,1.222227829411584,1.084739263586535,0.06,400,0.07,0.9,3.748014211654663,ok,0.2945731765778946,0.33798990068133816,100000
1.24304,1.2237372335168943,1.0857190637423115,0.06,400,0.0,0.72,3.6625382900238037,ok,0.2941288820102289,0.3376589003075888,100000
1.24472,1.2244909632877097,1.0865900669623485,0.06,400,0.01,0.88,3.713907241821289,ok,0.293907271842983,0.3373649263628582,100000
1.24092,1.2250051401760487,1.0693287489411167,0.07,400,0.0,0.72,3.6520047187805176,ok,0.2937561903611182,0.34323883954256657,100000
1.23136,1.2255082888498512,1.1306265154024708,0.05,300,0.06,0.76,2.93158221244812,ok,0.29360842450073243,0.32283093449711325,100000
1.26384,1.2259644042042903,1.066068351090203,0.14,200,0.0,0.8200000000000001,1.8120062351226807,ok,0.293474535726809,0.34435976104942967,100000
1.23976,1.2261843935396874,1.0368965279646452,0.09,400,0.03,0.84,3.629188299179077,ok,0.29340998155961295,0.3545533225984557,100000
1.25,1.2265930794423938,1.1203543669478795,0.16,100,0.0,0.8,0.9643850326538086,ok,0.2932900935363774,0.32616419233208943,100000
1.23628,1.2272310178909482,1.1350745423536654,0.07,200,0.0,0.72,1.9616975784301758,ok,0.29310305217591137,0.3213981626659258,100000
1.2334,1.2284497035115147,1.1480350870954181,0.06,200,0.08,0.78,2.0325355529785156,ok,0.29274606927002994,0.31725954470253426,100000
