rmse,loss,tr_loss,params.ItemTraitFeatureWeightPriorVariance,params.ItemTraitVariance,params.UserTraitFeatureWeightPriorVariance,params.UserTraitVariance,params.iterationCount,params.traitCount,params.numLevels,train_time,status,geo_mean,geo_mean_tr,dataset_size
1.0,1.9706217231877445,3.4688908420615356,0.0,0.25,1.0,0.25,20.0,25.0,5,25.673337697982788,ok,0.13937017960107445,0.03115156351029167,10001
1.0,1.9964230305363189,3.4468162985410884,0.0,0.75,0.75,0.0,10.0,24.0,5,12.717463970184326,ok,0.13582024023321912,0.03184686606396327,10001
1.0,2.00034678316062,3.2821373583897113,0.5,0.75,1.0,0.25,20.0,27.0,5,26.086433172225952,ok,0.1352883593760211,0.03754791762419702,10001
1.0,2.005286770949159,3.344843741040444,0.0,1.0,1.25,0.75,10.0,25.0,5,12.945196866989136,ok,0.1346216845712342,0.0352657253126427,10001
1.0,2.0411711490488442,3.3770959450078366,0.75,0.25,2.0,0.5,5.0,23.0,5,6.226165771484375,ok,0.12987651701560268,0.03414647412477871,10001
1.0,2.1105375243927744,3.0198360457316387,0.75,0.75,1.5,0.75,15.0,30.0,5,19.89341950416565,ok,0.12117281558074829,0.04880922018601332,10001
4.0,4.851781912277714,4.338729369036662,1.0,0.75,1.5,0.25,20.0,17.0,5,24.562433004379272,ok,0.007814440488154106,0.013053103348043374,10001
4.0,5.388243758098266,4.789118228837485,0.0,1.0,0.75,0.0,15.0,14.0,5,17.97971749305725,ok,0.004569992304024832,0.008319790299634696,10001
4.0,5.413206075509466,5.037667002369616,0.75,0.75,2.0,0.5,30.0,13.0,5,36.136943101882935,ok,0.004457326752455165,0.006488869189395483,10001
4.0,5.443350604307644,5.385381512101372,0.5,1.0,2.0,0.25,20.0,12.0,5,23.85871696472168,ok,0.004324967710927595,0.004583091483797434,10001
