rmse,loss,tr_loss,params.AffinityNoiseVariance,params.ItemTraitFeatureWeightPriorVariance,params.ItemTraitVariance,params.UserTraitFeatureWeightPriorVariance,params.UserTraitVariance,params.iterationCount,params.traitCount,params.numLevels,train_time,status,geo_mean,geo_mean_tr,dataset_size
7.6556,3.835232942007412,4.019918476949698,1.0,1.0,0.25,1.0,0.5,10.0,10.0,5,8.755250692367554,ok,0.021596307197049986,0.01795442857962608,10000
7.7608,4.039932893537273,4.21084124251495,1.0,1.0,0.75,0.5,0.5,25.0,4.0,5,20.970988273620605,ok,0.01759865335937418,0.014833884193680988,10000
7.5908,4.4083807515127535,4.600409217799822,1.0,1.0,1.0,1.0,0.25,25.0,9.0,5,22.076068878173828,ok,0.012174876527872485,0.010047723196047426,10000
7.5468,4.582455610191279,4.810547172689774,1.0,0.75,0.25,0.5,1.0,10.0,8.0,5,8.590071201324463,ok,0.010229745161877683,0.008143402630877122,10000
7.6516,4.611281507522114,4.818450750124532,1.0,0.5,1.0,1.0,0.5,30.0,10.0,5,26.638347625732422,ok,0.00993907314608278,0.008079294293922708,10000
7.5436,4.623648049263965,4.855992251643317,1.0,1.0,0.25,0.75,0.75,15.0,7.0,5,12.908841371536255,ok,0.009816918057919441,0.007781608207769303,10000
7.5796,4.769797980433276,5.000653519579203,1.0,1.0,0.5,0.5,0.5,25.0,7.0,5,21.690838098526,ok,0.008482093535740719,0.006733545057332165,10000
7.5648,4.831459278204209,5.068867876771746,1.0,0.75,0.25,0.75,1.0,20.0,8.0,5,17.44159507751465,ok,0.007974875209029845,0.006289536642190331,10000
7.5928,5.391570158272402,5.653870837355724,1.0,1.0,0.75,0.25,1.0,15.0,7.0,5,12.87748670578003,ok,0.004554815936159075,0.0035039273577601397,10000
7.5516,5.6212272728073795,5.861681185613052,1.0,0.25,0.5,0.75,0.75,25.0,5.0,5,21.40705132484436,ok,0.0036201954140944338,0.002846454239920205,10000
