rmse,loss,tr_loss,params.AffinityNoiseVariance,params.ItemTraitFeatureWeightPriorVariance,params.ItemTraitVariance,params.UserTraitFeatureWeightPriorVariance,params.UserTraitVariance,params.iterationCount,params.traitCount,params.numLevels,train_time,status,geo_mean,geo_mean_tr,dataset_size
2.27948,1.9042215467052535,1.913456797785614,1.0,0.25,0.25,0.25,0.25,25.0,4.0,5,296.19119119644165,ok,0.14893853920280734,0.14756938636406813,99999
2.26632,1.931813186941559,1.9455709748251078,1.0,0.75,0.25,0.25,0.25,25.0,7.0,5,301.978901386261,ok,0.14488525611941147,0.14290560453661263,99999
2.29308,1.9496647373843647,1.9596508995721007,1.0,0.25,0.5,0.5,0.75,25.0,4.0,5,294.16568422317505,ok,0.14232177876065988,0.14090760324034662,99999
2.29944,1.954792863794321,1.9648444849623483,1.0,1.0,0.5,0.25,1.0,25.0,4.0,5,296.81225872039795,ok,0.14159380285984588,0.14017768465871733,99999
2.28064,1.9786636159221935,1.996702334268882,1.0,0.25,0.75,1.0,0.5,10.0,7.0,5,118.50593757629395,ok,0.13825387418668153,0.1357823104303787,99999
2.30708,1.981502545879952,1.992037858885894,1.0,0.25,1.0,0.5,1.0,20.0,5.0,5,238.5938959121704,ok,0.13786193772479344,0.13641714310449518,99999
2.28268,1.9879817200090044,2.0023714139523383,1.0,0.25,0.5,1.0,0.5,25.0,7.0,5,298.6845474243164,ok,0.13697159368623182,0.13501472749310625,99999
2.2816,2.0277550093634327,2.0513953306500765,1.0,0.25,0.75,0.5,0.75,10.0,10.0,5,119.55536437034607,ok,0.13163069937592406,0.12855540109288346,99999
2.27908,2.034577500596904,2.0558370446638725,1.0,1.0,0.5,0.75,1.0,25.0,9.0,5,299.96984601020813,ok,0.1307357065951306,0.12798566101423728,99999
2.27828,2.041812405817473,2.064904836371512,1.0,0.25,0.5,0.5,1.0,15.0,10.0,5,183.24074268341064,ok,0.12979325951755058,0.126830359630943,99999
