rmse,loss,tr_loss,params.AffinityNoiseVariance,params.ItemTraitFeatureWeightPriorVariance,params.ItemTraitVariance,params.UserTraitFeatureWeightPriorVariance,params.UserTraitVariance,params.iterationCount,params.traitCount,params.minRating,params.maxRating,train_time,status,geo_mean,geo_mean_tr,dataset_size
0.48072,0.9980366025848539,1.025429668159429,1.0,1.0,0.25,0.5,0.25,30.0,5.0,0,1,59.33510661125183,ok,0.3686024442542552,0.3586423351038638,100000
0.4812,1.0599141142549646,1.0933130350857854,1.0,0.25,0.25,0.25,0.5,20.0,5.0,0,1,39.38314247131348,ok,0.34648556722327767,0.33510443982061133,100000
0.48052,1.069422022854955,1.1132442445153878,1.0,1.0,0.25,0.5,1.0,20.0,10.0,0,1,49.08685231208801,ok,0.34320682580566764,0.3284915236734343,100000
0.48,1.07508143009182,1.1147642191060498,1.0,1.0,0.25,0.25,0.75,30.0,7.0,0,1,64.41936159133911,ok,0.34126996452495967,0.32799260417274023,100000
0.48056,1.0751750379552694,1.115121398175293,1.0,0.5,0.25,0.5,0.75,15.0,6.0,0,1,31.07059645652771,ok,0.3412380204678518,0.3278754729993102,100000
0.4802,1.088680368807634,1.1379148200907934,1.0,1.0,0.75,0.5,0.5,25.0,10.0,0,1,61.184690713882446,ok,0.33666046835618557,0.32048659778128874,100000
0.48076,1.0954244903562287,1.1509138802881125,1.0,0.5,0.5,0.75,1.0,10.0,9.0,0,1,23.866793394088745,ok,0.3343976282481079,0.3163475334606586,100000
0.48188,1.0961899054402071,1.138982311107462,1.0,0.25,0.25,1.0,1.0,10.0,6.0,0,1,21.094789743423462,ok,0.33414177318955207,0.32014466375541556,100000
0.48152,1.1337383662126377,1.1931007080663172,1.0,1.0,1.0,0.5,0.75,15.0,8.0,0,1,33.860506772994995,ok,0.32182789425726416,0.3032794236799111,100000
0.482,1.2137362530474012,1.258217097243723,1.0,1.0,1.0,1.0,0.75,10.0,5.0,0,1,19.933573007583618,ok,0.29708521770156127,0.2841602051450125,100000
