rmse,loss,tr_loss,params.bootstrap,params.max_depth,params.max_features,params.min_samples_leaf,params.min_samples_split,params.n_estimators,train_time,status,geo_mean,geo_mean_tr,dataset_size
1.21844,1.2579208086395752,0.7931488797197617,True,70,sqrt,4,5,100,8.76613998413086,ok,0.2842444110495582,0.4524179402869424,100000
1.23944,1.2734247430062469,0.6713194094178517,False,30,sqrt,4,10,400,49.5731041431427,ok,0.2798714906853214,0.5110338698756813,100000
1.24676,1.2782952433311534,0.6095699033075875,True,30,sqrt,2,5,300,29.3617684841156,ok,0.2785116906403582,0.5435846127486955,100000
1.2402,1.2865595788047415,0.6671983201740371,False,100,sqrt,4,10,200,24.782929182052612,ok,0.2762194615172621,0.5131442315677309,100000
1.22896,1.288445623294006,0.7066198126955223,True,80,sqrt,1,10,100,9.240767002105713,ok,0.2756989902942643,0.4933088587840897,100000
1.25124,1.2888216841683846,0.6348626350311117,False,50,sqrt,4,2,300,37.746169567108154,ok,0.27559533018338656,0.530008287889375,100000
1.25124,1.2888216841683846,0.6348626350311117,False,50,sqrt,4,5,300,37.77133798599243,ok,0.27559533018338656,0.530008287889375,100000
1.26504,1.3233566271896557,0.5662542371127414,True,100,sqrt,2,2,200,20.228784561157227,ok,0.2662401315650944,0.5676477352279559,100000
1.48272,3.197485893252488,1.1102230246251567e-15,False,80,sqrt,1,2,400,63.979273557662964,ok,0.04086481344195683,0.9999999999999989,100000
1.48548,4.410099694505551,1.1102230246251567e-15,False,90,sqrt,1,2,100,15.831231594085693,ok,0.012153966585824575,0.9999999999999989,100000
